nome,cognome,username,password
Matteo,Esposti,matteo.esposti,matt123
Paolo,Carvelli,paolo.carvelli,paolo456
Filippo,Marcianò,filippo.marciano,fil789
Luca,Rossi,luca.rossi,luca321
Giulia,Bianchi,giulia.bianchi,giu654
Alessandro,Verdi,alessandro.verdi,ale987
Sara,Ferrari,sara.ferrari,sara111
Davide,Romano,davide.romano,dado222
Chiara,Galli,chiara.galli,chia333
Simone,Conti,simone.conti,simo444
Elena,Moretti,elena.moretti,ele555
Marco,De Luca,marco.deluca,marco666
Francesca,Rinaldi,francesca.rinaldi,fran777
Andrea,Greco,andrea.greco,and888
Martina,Fontana,martina.fontana,marty999
Riccardo,Marchetti,riccardo.marchetti,ricky101
Valentina,Colombo,valentina.colombo,vale202
Gabriele,Testa,gabriele.testa,gab303
Federica,Barbieri,federica.barbieri,fede404
Stefano,Serra,stefano.serra,step505
Beatrice,Lombardi,beatrice.lombardi,bea606
